stock_mapes
Stock,LSTM_MAPE,Improved_LSTM_MAPE,SMA_MAPE,EMA_MAPE,LR_MAPE
COST,1.3404691154182200,1.08,1.679872213086170,11.261510109207200,1.934618712810160
UL,1.415880683012030,0.94,1.3865034259390300,11.065724881254700,1.7325714640480600
AMGN,1.5397975508245900,1.30,1.670654408562230,11.129549732385400,1.9858724824758400
UNH,1.096682716493610,1.17,1.83170733142432,11.208718313554400,2.1751440081554500
WAT,1.7818783908803400,1.49,2.1837378381914700,11.154135571202600,2.635962839845540
UPS,2.415324678102940,1.40,2.015870819825040,11.144035758256600,2.3326740419659300
LPX,2.5891031673731900,2.25,3.463596571613550,11.319833242056500,3.9506948347777200
WM,1.0737988938734500,1.07,1.4285727805081200,11.183397426209100,1.705697264112000
NVDA,3.5160240075161200,2.43,3.7357364904612300,11.464808823004300,4.354585489821900
GOOGL,1.996939860649230,1.58,2.2449998500467200,11.218527307766500,2.6554982341835000
MSFT,2.163500284295200,1.40,2.043030365251080,11.251229814385300,2.557483973031840
AXP,1.838331853053010,1.85,2.5899219056989000,11.164970896329100,2.817153509045250
BLK,1.6023231312465600,1.41,2.172027707493000,11.196064461076200,2.4449506250265900
BRK-B,1.031610914303430,0.98,1.4249819799623800,11.18450761946820,1.6461982771656700
NEE,1.679473299653690,1.39,2.019101659253450,11.101802392308700,2.2994105983700000
XOM,1.8699257010541800,1.63,2.562877471370510,11.165359885429100,3.0386424303934300
CNI,1.5300053526134600,1.36,1.7213341622882100,11.156408028604300,2.0508183721487600
